date | value
2000-10-10 | 80
2011-09-14 | 390.57
2010-11-03 | 517.239
2020-06-26 | 998.808
2012-07-09 | 1242.2
2019-07-11 | 700.492
2019-06-25 | 416.636
2017-05-22 | 507.753
2012-12-23 | 1146.69
2013-12-02 | 1293.19
2016-12-12 | 1602.81
2017-04-22 | 737.216
2014-11-26 | 782.601
2015-07-13 | 583.763
2013-04-12 | 353.688
2009-11-06 | 1018.34
2010-11-19 | 396.835
2020-03-29 | 1558.83
2014-01-26 | 1800.22
2016-07-30 | 515.044
2014-23-16 | 632.64
2022-02-30 | 425.79
2021-13-01 | 678.34
2018-06-31 | 1244.90
2017-00-15 | 765.43
2015-05-00 | 890.12
2011-01-01 | -500.25
2010-08-14 | -0.001
not_a_date | 123.45
2019 10 15 | 567.89
2019-10-15 | not_a_value
2019-10-15 | 1000000000
2019-10-15 | 0,123
2019-10-15|567.89
2019-10-15 | 567.89 |
| 2019-10-15 | 567.89
| |
date | value
2011-10-10 |
2011-09-14 | 390.57
2010-11-03 | 517.239
2020-06-26 | 998.808
2012-07-09 | 1242.2
2019-07-11 | 700.492
2019-06-25 | 416.636
2017-05-22 | 507.753
2012-12-23 | 1146.69
2013-12-02 | 1293.19
2016-12-12 | 1602.81
2017-04-22 | 737.216
2014-11-26 | 782.601
2015-07-13 | 583.763
2013-04-12 | 353.688
2009-11-06 | 1018.34
2010-11-19 | 396.835
2020-03-29 | 1558.83
2014-01-26 | 1800.22
2016-07-30 | 515.044
2014-23-16 | 632.64
2022-02-30 | 425.79
2021-13-01 | 678.34
2018-06-31 | 1244.90
2017-00-15 | 765.43
2015-05-00 | 890.12
2011-01-01 | -500.25
2010-08-14 | -0.001
not_a_date | 123.45
2019 10 15 | 567.89
2019-10-15 | not_a_value
2019-10-15 | 1000000000
2019-10-15 | 0,123
2019-10-15|567.89
2019-10-15 | 567.89 |
| 2019-10-15 | 567.89
| |
  |  
gibberishgibberish
